año,corporacion,lugar,votacion,localidad,longitud,latitud,geometry,upz
2023,ALCALDIA,UNIVERSIDAD PILOTO,1310,CHAPINERO,-74.06547382099996,4.632772357000022,POINT (-74.06547382099996 4.632772357000022),CHAPINERO
2023,ALCALDIA,CENTRO COMERCIAL GALERIAS,1310,TEUSAQUILLO,-74.07494141799998,4.643162799000038,POINT (-74.07494141799998 4.643162799000038),GALERIAS
2023,ALCALDIA,ATAHUALPA,1310,FONTIBON,-74.1483,4.6883,POINT (-74.1483 4.6883),FONTIBON
2023,ALCALDIA,JOSE CELESTINO MUTIS,1305,CIUDAD BOLIVAR,-74.14997740599995,4.568745078000063,POINT (-74.14997740599995 4.568745078000063),SAN FRANCISCO
2023,ALCALDIA,EL CONSUELO,1292,SANTA FE,-74.07114749899995,4.580839076000075,POINT (-74.07114749899995 4.580839076000075),LOURDES
2023,ALCALDIA,ISLANDIA,1290,BOSA,-74.20035773099994,4.616162771000063,POINT (-74.20035773099994 4.616162771000063),BOSA CENTRAL
2023,ALCALDIA,TEUSAQUILLO,1280,TEUSAQUILLO,-74.07273435499997,4.621280332000026,POINT (-74.07273435499997 4.621280332000026),TEUSAQUILLO
2023,ALCALDIA,PARQUEADERO GUACAMAYAS,1272,SAN CRISTOBAL,-74.10010721799995,4.557598894000023,POINT (-74.10010721799995 4.557598894000023),LA GLORIA
2023,ALCALDIA,LA FORTALEZA,1272,USME,-74.11916043499997,4.517830869000022,POINT (-74.11916043499997 4.517830869000022),GRAN YOMASA
2023,ALCALDIA,EDUARDO SANTOS,1272,LOS MARTIRES,-74.09333049699995,4.594339241000057,POINT (-74.09333049699995 4.594339241000057),SANTA ISABEL
2023,ALCALDIA,BOSA SAN JOSE,1272,BOSA,-74.20988606299994,4.613764418000073,POINT (-74.20988606299994 4.613764418000073),BOSA CENTRAL
2023,ALCALDIA,JUAN REY,1271,SAN CRISTOBAL,-74.08995580399994,4.522433833000036,POINT (-74.08995580399994 4.522433833000036),LOS LIBERTADORES
2023,ALCALDIA,DIVINO SALVADOR,1265,TEUSAQUILLO,-74.06639656599998,4.644427046000033,POINT (-74.06639656599998 4.644427046000033),GALERIAS
2023,ALCALDIA,LA CABAÑA,1264,ENGATIVA,-74.10219663,4.674296156000025,POINT (-74.10219663 4.674296156000025),LAS FERIAS
2023,ALCALDIA,SAN PEDRO SUR ORIENTAL,1262,SAN CRISTOBAL,-74.08717515099994,4.564504542000066,POINT (-74.08717515099994 4.564504542000066),20 DE JULIO
2023,ALCALDIA,GRAN YOMASA,1259,USME,-74.109734,4.508524,POINT (-74.109734 4.508524),GRAN YOMASA
2023,ALCALDIA,REPUBLICA DEL CANADA,1246,SAN CRISTOBAL,-74.08732730199995,4.53577178300003,POINT (-74.08732730199995 4.53577178300003),LOS LIBERTADORES
2023,ALCALDIA,CC PLAZA DE LAS AMERICAS,1242,KENNEDY,-74.13720239099996,4.61844261300007,POINT (-74.13720239099996 4.61844261300007),AMERICAS
2023,ALCALDIA,VILLANUEVA,1241,KENNEDY,-74.14097588099997,4.603200021000021,POINT (-74.14097588099997 4.603200021000021),CARVAJAL
2023,ALCALDIA,ESTRELLA DEL SUR,1235,CIUDAD BOLIVAR,-74.14255463799998,4.54309905100007,POINT (-74.14255463799998 4.54309905100007),EL TESORO
2023,ALCALDIA,SANTA ANA SUR,1233,SAN CRISTOBAL,-74.08415687399997,4.577041486000041,POINT (-74.08415687399997 4.577041486000041),SOSIEGO
2023,ALCALDIA,CENTRO NARIÑO,1225,TEUSAQUILLO,-74.09149145199996,4.628473686000063,POINT (-74.09149145199996 4.628473686000063),QUINTA PAREDES
2023,ALCALDIA,EL GUALI,1223,ENGATIVA,-74.09435405699998,4.671215577000055,POINT (-74.09435405699998 4.671215577000055),LAS FERIAS
2023,ALCALDIA,PARQUES DE BOGOTA,1216,BOSA,-74.21173341399998,4.626093818000072,POINT (-74.21173341399998 4.626093818000072),TINTAL SUR
